Depth	Temperature	Conductivity
0.3	29.89	152.9
0.8	29.8	152.4
1.4	29.74	152.4
4.1	29.69	152.1
7.3	29.66	152.1
10.5	29.63	151.9
13.9	29.61	151.9
17.5	29.6	151.9
21.1	29.57	151.9
24.7	29.53	151.9
27.9	29.51	151.9
30.6	29.49	151.9
33.6	29.45	151.9
36.8	29.28	152.1
40	29.05	152.1
43.4	28.93	151.9
46.7	28.79	151.1
49.7	28.64	149.6
53.1	28.56	149.6
56.7	28.49	149.3
60.5	28.44	149
64.3	28.4	148.8
67.7	28.37	148.8
71.3	28.35	148.8
74.7	28.32	148.8
77.7	28.26	148.8
80.8	28.23	148.8
84	28.21	148.8
87	28.2	148.5
90	28.18	148.5
92.9	28.17	148.5
96.1	28.17	148.3
99.3	28.16	148.3
102.7	28.16	148.3
105.8	28.15	148.3
109	28.14	148.3
112.2	28.14	148
115.1	28.14	148
117.7	28.14	148
120.2	28.14	148
123	28.14	148
126.1	28.14	148.3
128.9	28.13	148
131.9	28.13	148
134.8	28.13	148
137.6	28.13	148
140.1	28.13	148
142.4	28.13	148
144.8	28.13	148
146.9	28.13	148
149.2	28.12	148
151.5	28.12	148
153.6	28.12	148
156.2	28.12	148
158.5	28.12	148
161.2	28.12	148
163.8	28.12	148
166.3	28.12	148
168.6	28.12	148
171	28.12	148
173.5	28.12	147.8
176	28.13	148
178.6	28.12	147.8
180.9	28.12	147.8
183.2	28.12	147.8
185.3	28.12	147.8
187	28.12	147.8
187.7	28.13	147.8
188.5	28.13	147.8
188.9	28.13	148
188.9	28.13	148
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	148
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
188.9	28.13	147.8
189.1	28.13	148
