Depth	Temperature	Conductivity
0.0399	28.9319	144
0.0466	29.0886	140.6
0.0298	29.1621	144.5
0.0653	29.1931	142
0.1019	29.2087	142.1
0.1514	29.2119	143
0.012	29.213	140.6
0.1306	29.2187	141.1
0.0796	29.2229	138.9
0.1425	29.2167	140.6
0.1548	29.2187	143.2
0.1884	29.2196	140.3
0.0589	29.2195	143.3
0.1107	29.2264	141
0.0879	29.2235	141.6
0.0346	29.2211	139.5
0.1388	29.2228	143.3
0.116	29.2257	143
0.2563	29.2245	137.2
0.2428	29.2284	146.5
0.1269	29.2263	145.2
0.8454	29.22	147.2
1.5454	29.237	146.8
2.4811	29.2479	145.9
3.6482	29.2525	140
4.7899	29.2557	142.8
5.8967	29.2604	140.9
6.3098	29.2609	141
7.2978	29.2591	143.1
8.4889	29.2582	144.5
8.9094	29.2613	150.9
9.9331	29.2612	146.6
9.943	29.2644	144.2
9.9098	29.2667	146.4
9.9747	29.2661	143.9
9.9855	29.2656	144.7
10.0241	29.2639	148.8
10.0297	29.2631	142.3
10.0354	29.261	142.9
10.0211	29.2618	151.3
10.0338	29.2533	144.8
9.9965	29.2559	152.6
9.9908	29.2603	142.4
10.6077	29.2641	147.9
11.4905	29.2687	146.7
12.5509	29.2689	144.3
13.7656	29.27	147.9
14.734	29.2728	151.5
15.401	29.2733	148.2
16.7494	29.2729	147.6
17.604	29.2739	145.3
18.3493	29.2725	147.7
19.1566	29.2727	145.6
19.5187	29.2686	148.6
19.4722	29.2702	150.4
19.5742	29.2696	148.7
19.6164	29.2688	146.3
19.6403	29.2682	142.2
19.655	29.2653	144.3
19.7873	29.2679	148.3
20.3879	29.2637	146.8
21.471	29.2662	149.3
22.3021	29.2681	146.1
23.1933	29.2716	144.8
23.6312	29.271	147.2
24.5173	29.2708	145.5
24.6346	29.2724	144.6
24.6331	29.271	143.8
24.5974	29.2709	139.7
24.6297	29.2709	143.5
25.3509	29.2694	146.3
26.3988	29.2683	148.1
27.0974	29.2723	148.6
28.4076	29.2743	145.3
29.1146	29.2757	145.2
29.4724	29.2779	145.6
29.3508	29.2791	147.6
29.4262	29.2796	145
29.6099	29.2812	148.8
30.4495	29.279	150.1
31.3736	29.2779	141.5
32.3047	29.2766	142.4
33.0236	29.2782	147
33.9068	29.2767	144.4
34.2628	29.2762	142.2
34.3175	29.2797	148.6
34.1355	29.2818	143.7
34.0815	29.2831	142.5
34.0764	29.2838	142.3
34.2739	29.2847	149.9
34.2774	29.2853	145.6
34.1634	29.2862	148.9
34.0902	29.2865	148
34.9157	29.2857	138.3
36.2019	29.285	147.2
