Depth	Temperature	Conductivity
0.8	29.52	197.5
1.2	29.51	197
2.9	29.35	196.5
8.8	29.08	195.5
16.2	28.91	194.7
24.5	28.64	192.6
32.6	28.39	190.8
43.1	28.32	190.8
51.6	28.29	191.6
59.7	28.27	191.6
69	28.25	191.3
77	28.25	191.3
83.6	28.24	191.1
86.8	28.25	191.1
91.6	28.23	190.6
96.9	28.23	191.1
103.5	28.23	191.3
110.9	28.22	191.1
117.9	28.22	190.8
125.5	28.22	190.8
133.3	28.21	190.8
139.3	28.21	190.8
144.1	28.21	190.8
145.8	28.22	190.8
147.9	28.22	190.6
147.7	28.22	190.6
147.7	28.23	190.6
147.7	28.23	190.6
147.7	28.23	190.6
147.7	28.22	190.6
147.5	28.22	190.3
147.5	28.22	190.3
147.5	28.22	189.5
147.5	28.21	190
147.5	28.21	190.3
147.7	28.21	190.3
147.7	28.21	190
147.3	28.2	190
