Depth	Temperature	Conductivity
0.16	28.98	-9999
0.16	28.98	-9999
0.32	28.98	-9999
0.49	28.98	-9999
0.49	28.98	-9999
0.82	28.98	-9999
1.97	28.84	-9999
3.45	28.69	-9999
4.77	28.62	-9999
5.92	28.62	-9999
7.08	28.62	-9999
8.23	28.55	-9999
9.38	28.55	-9999
10.37	28.55	-9999
11.53	28.55	-9999
12.84	28.55	-9999
14	28.55	-9999
15.32	28.55	-9999
16.8	28.55	-9999
18.28	28.55	-9999
19.6	28.55	-9999
21.08	28.55	-9999
22.4	28.55	-9999
23.88	28.55	-9999
25.2	28.55	-9999
26.68	28.55	-9999
28.17	28.55	-9999
29.81	28.55	-9999
31.13	28.55	-9999
32.62	28.55	-9999
34.43	28.55	-9999
35.91	28.55	-9999
37.23	28.55	-9999
38.55	28.55	-9999
40.03	28.55	-9999
41.35	28.55	-9999
42.83	28.48	-9999
44.31	28.55	-9999
45.8	28.48	-9999
47.11	28.55	-9999
48.6	28.48	-9999
50.08	28.48	-9999
51.56	28.48	-9999
53.21	28.48	-9999
54.69	28.48	-9999
56.18	28.48	-9999
57.82	28.48	-9999
59.31	28.48	-9999
60.63	28.48	-9999
61.94	28.48	-9999
63.43	28.48	-9999
64.91	28.48	-9999
66.39	28.48	-9999
67.71	28.48	-9999
69.19	28.48	-9999
70.51	28.48	-9999
72.16	28.48	-9999
73.81	28.48	-9999
75.29	28.48	-9999
76.77	28.48	-9999
78.42	28.48	-9999
80.23	28.48	-9999
81.88	28.48	-9999
83.36	28.48	-9999
84.85	28.48	-9999
86.16	28.48	-9999
87.81	28.48	-9999
89.29	28.4	-9999
91.11	28.4	-9999
92.59	28.33	-9999
94.07	28.26	-9999
95.72	28.26	-9999
97.04	28.26	-9999
98.69	28.26	-9999
100.17	28.19	-9999
101.82	28.19	-9999
103.3	28.19	-9999
104.95	28.19	-9999
106.59	28.19	-9999
108.08	28.19	-9999
109.72	28.19	-9999
111.54	28.19	-9999
112.86	28.19	-9999
114.34	28.19	-9999
115.66	28.19	-9999
117.3	28.19	-9999
118.95	28.19	-9999
120.43	28.19	-9999
122.08	28.19	-9999
123.73	28.19	-9999
125.38	28.19	-9999
127.02	28.19	-9999
128.67	28.19	-9999
130.32	28.19	-9999
131.97	28.19	-9999
133.78	28.19	-9999
135.26	28.19	-9999
137.08	28.19	-9999
138.72	28.19	-9999
140.37	28.19	-9999
142.18	28.19	-9999
143.67	28.19	-9999
145.15	28.19	-9999
146.96	28.19	-9999
148.44	28.19	-9999
150.09	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
150.75	28.19	-9999
