Depth	Temperature	Conductivity
0.092	29.5146	161.5
0.3438	29.4949	164.1
0.7385	29.4486	162.3
1.0048	29.3701	160.6
1.4347	29.3495	160.6
1.729	29.3233	157.8
1.8826	29.2976	156.6
1.9994	29.2871	161
1.7684	29.2906	160
1.8438	29.2941	157
2.0425	29.3005	157.7
2.6842	29.2902	164
3.1795	29.2823	156.8
4.0975	29.2756	158.5
4.4497	29.2751	162.9
6.0116	29.2605	157.6
8.1819	29.256	158.9
10.5129	29.2485	165.5
12.7699	29.2422	162.4
13.9673	29.2394	156.1
14.0649	29.2363	159.8
14.2051	29.2324	161
14.2332	29.2313	162.1
14.4569	29.2313	162.7
16.0957	29.2325	165.8
16.6364	29.2312	163.3
17.4494	29.2299	160.7
18.5035	29.2312	161.7
19.8295	29.2306	163
20.9756	29.2308	163.7
22.1502	29.2309	158.8
23.2952	29.2304	163.7
24.4605	29.2292	161.7
25.4815	29.2308	164.6
26.5921	29.227	163.4
27.6964	29.2269	161.5
28.5997	29.2254	162.2
29.818	29.2253	165.1
31.2116	29.2248	165
32.5912	29.2253	163.8
33.5794	29.2248	161.2
34.6787	29.2255	163.3
36.0588	29.2227	160.1
37.2003	29.2228	161.3
38.3464	29.2221	161.1
39.603	29.2219	167.6
40.7937	29.224	162.4
41.7856	29.2212	160
43.1083	29.2148	159.9
44.4098	29.1985	159.8
45.7235	29.1681	162.3
46.9715	29.0967	165
48.1584	28.9876	163.4
48.7086	28.8243	165.1
50.1271	28.7224	153.7
51.7572	28.6535	160
52.8719	28.5209	160.4
53.7265	28.3938	160.9
54.6253	28.3547	159.4
56.1344	28.2933	155.7
57.7564	28.2582	161.5
59.4258	28.2347	160.7
61.0723	28.2016	158.7
62.8098	28.18	160.1
63.8753	28.1555	156.6
65.3351	28.135	159
67.0252	28.116	156.5
68.7806	28.0897	156
70.6091	28.0586	162.5
71.9428	28.0695	157.2
73.421	28.0525	158.5
75.0502	28.0373	155.5
76.2646	28.0345	154.5
77.3754	28.0255	154.8
78.6084	28.0075	156.1
80.1223	27.9998	158
81.5839	27.9916	157.8
82.6624	27.9855	160.1
83.7287	27.9849	163
84.7218	27.9909	159.3
85.8947	27.9946	161.8
86.7328	27.984	159.4
87.6739	27.9782	160.6
89.1737	27.973	156.8
91.0624	27.9602	158.1
92.8215	27.9548	156.7
94.6274	27.9618	159.6
95.8669	27.945	158.3
96.7949	27.9489	156.7
97.3953	27.9406	155.9
97.4166	27.9344	158.8
97.3787	27.9396	162.5
97.4423	27.9448	163
97.4304	27.9455	156.7
97.4296	27.948	157
97.4183	27.9495	158.4
97.402	27.955	160.5
97.3987	27.9509	159.7
97.3925	27.9481	157.6
97.5497	27.943	158.9
99.0171	27.9393	161
100.4226	27.9285	158.4
101.7038	27.9274	163.3
103.3058	27.9348	163.2
104.881	27.9288	158.9
105.8827	27.9375	159.5
106.7062	27.9311	162.4
107.4574	27.927	161.2
108.3094	27.9292	156
108.5549	27.9167	157.5
108.5547	27.9242	161.2
108.5605	27.9276	157.3
108.5271	27.9295	166.9
108.5303	27.9352	157.5
108.7908	27.9321	158.7
109.8423	27.9256	161
110.9752	27.9267	156.5
112.2017	27.9172	160.5
113.3582	27.9208	163.4
114.4526	27.9182	160.3
115.7467	27.9197	164.1
116.9193	27.9209	163.6
118.2539	27.9194	161.4
119.5285	27.9212	160.5
120.9541	27.9328	153.3
122.2521	27.9291	158.5
123.182	27.9251	159.9
124.0475	27.9336	159.9
125.0322	27.9243	158.8
125.8059	27.926	162.9
126.8116	27.9207	160.1
127.8949	27.9199	162.1
129.0041	27.9218	162.7
130.046	27.9255	161.8
131.0895	27.9194	160.3
132.1415	27.9211	160.5
133.3462	27.9214	157.4
134.0682	27.9195	160.1
134.997	27.9176	159.8
135.511	27.9192	155.9
136.191	27.9192	156.6
137.2177	27.9177	164.2
138.172	27.9168	159.9
139.2734	27.9181	163.1
140.4862	27.9166	158.2
141.5715	27.9179	158.3
142.6917	27.9187	157.2
143.8577	27.9253	161.7
145.0907	27.9192	158.2
145.8682	27.92	156.3
147.0364	27.9204	159.1
148.1278	27.9197	154.6
149.2269	27.9222	159.8
150.3181	27.9229	159.1
151.3609	27.9249	159.6
152.4782	27.9221	157.6
153.47	27.9216	160.9
154.6316	27.9252	159.1
155.7652	27.9192	155.9
157.0068	27.9205	159
158.0079	27.9205	158.5
158.965	27.9247	159.8
160.0538	27.9194	157.3
161.0565	27.9256	159.7
162.0952	27.9239	161.5
163.1228	27.9191	159
164.3426	27.9181	159.3
165.4377	27.9227	155
167.0112	27.9185	161.1
167.9646	27.9166	162.3
169.0194	27.9215	156.5
169.9464	27.9203	158.8
170.7988	27.9165	159.3
171.6058	27.9179	163.3
172.4961	27.9179	163.2
173.3683	27.9178	160.8
174.1464	27.916	156.6
174.9343	27.9153	162.9
175.8461	27.9187	158.8
176.8373	27.9155	160.6
177.7875	27.9158	160.7
178.5121	27.9166	160.2
179.251	27.9192	154.5
179.8752	27.9249	161.1
180.5207	27.9172	159.4
181.3485	27.9132	161.5
182.3372	27.9168	155.1
183.3754	27.9167	165.4
184.1514	27.9126	160.8
184.8351	27.9118	157.3
185.6808	27.9122	159
186.4024	27.9154	163.3
186.4107	27.9166	150.5
186.397	27.9222	156.2
186.4169	27.9239	161
186.3942	27.9233	164
186.3928	27.9226	163.3
186.3868	27.921	162.4
186.3817	27.9235	159.6
186.4004	27.9184	155.9
186.3644	27.9193	159.9
186.3856	27.9186	158.4
186.3683	27.918	157
186.353	27.9172	159.3
186.3777	27.9157	157.5
186.363	27.9159	158.3
186.351	27.9154	155.8
186.3511	27.9188	159.8
186.3589	27.9136	159.3
186.3457	27.9119	157.2
186.3512	27.9186	156.2
186.3507	27.9201	160.7
186.3434	27.9143	161.6
186.338	27.9149	157.5
186.337	27.9131	161.4
186.3267	27.911	160.2
186.3242	27.9134	160.8
186.3304	27.9117	159.3
186.4183	27.9079	161.1
186.2527	27.9061	159.9
186.2465	27.9108	160.6
186.2263	27.9122	159.1
186.2283	27.9101	160.3
186.2374	27.9126	160.8
186.2433	27.9082	156.9
186.225	27.9105	160.7
186.2155	27.9081	156.4
186.2012	27.9129	164.1
186.2107	27.9096	156.4
186.2071	27.9091	159.7
186.2055	27.9086	160.7
186.1582	27.9096	162.4
