Depth	Temperature	Conductivity
185.6512	27.906	162.2
185.8888	27.91	156.8
185.9509	27.9054	161.9
185.9517	27.9027	157.4
185.9459	27.9059	156.4
185.9294	27.9064	160.6
185.9242	27.9097	160.3
185.9539	27.9102	155.7
185.9355	27.9081	160.7
185.9427	27.909	157
185.9396	27.909	161.9
185.9448	27.9088	158.5
185.9468	27.9062	154.6
185.9507	27.9072	154.6
185.9582	27.9049	157
185.9749	27.908	160.2
185.9391	27.9041	162.7
185.9391	27.9022	162.9
185.9668	27.9001	158.5
185.7277	27.9019	163.1
185.1926	27.9074	156.6
